@BOOK@	n="1"	book_title="The Noble Quran"	book_type="#religious"
@SECTION@	n="0"	section_title="Introduction"
@SURA@	n="2"	sura_title="al-Baqara"
@P@	n="155"	id="p12"	translation="We will certainly test you with a touch of fear and famine and loss of property, life, and crops. Give good news to those who patiently endure"
ولنبلونكم	noun_prop	ولنبلونكم	_	_	ولنبلونكم-o	ولنبلونكم-o
بشيء	noun	شَيْء	_	_	بشيء-n	شَيْء-n
من	prep	مِن	_	_	من-p	مِن-p
الخوف	noun	خَوْف	_	_	الخوف-n	خَوْف-n
والجوع	noun	جُوع	catastrophe	hunger	والجوع-n	جُوع-n
ونقص	noun	نَقْص	_	_	ونقص-n	نَقْص-n
من	prep	مِن	_	_	من-p	مِن-p
الامول	noun_prop	الامول	_	_	الامول-o	الامول-o
والأنفس	noun	نَفْس	_	_	والأنفس-n	نَفْس-n
والثمرت	noun_prop	والثمرت	_	_	والثمرت-o	والثمرت-o
وبشر	noun	شَرّ	_	_	وبشر-n	شَرّ-n
الصبرين	noun_prop	الصبرين	_	_	الصبرين-o	الصبرين-o
@P@	n="156"	id="p13"	translation="Who say, when struck by a disaster, “Surely to Allah we belong and to Him we will ˹all˺return.”"
الذين	pron_rel	الَّذِي	_	_	الذين-g	الَّذِي-g
إذا	conj	إِذا	_	_	إذا-c	إِذا-c
أصبتهم	verb	أَصاب	_	_	أصبتهم-v	أَصاب-v
مصيبة	noun	مُصِيبَة	catastrophe:divine	calamity	مصيبة-n	مُصِيبَة-n
قالوا	verb	قال	_	_	قالوا-v	قال-v
أن	conj_sub	أَنَّ	_	_	أن-k	أَنَّ-k
الله	noun_prop	اللَّه	_	_	الله-o	اللَّه-o
وأن	conj_sub	أَنَّ	_	_	وأن-k	أَنَّ-k
االيه	noun_prop	االيه	_	_	االيه-o	االيه-o
رجعون	noun_prop	رجعون	_	_	رجعون-o	رجعون-o
.	punc	.	_	_	.-x	.-x
@P@	n="214"	id="p14"	translation="Do you think you will be admitted into Paradise without being tested like those before you? They were afflicted with suffering and adversity and were so ˹violently˺ shaken that ˹even˺ the Messenger and the believers with him cried out, “When will Allah’s help come?” Indeed, Allah’s help is ˹always˺ near."
أم	conj	أَم	_	_	أم-c	أَم-c
حسبتم	verb	حَسِب	_	_	حسبتم-v	حَسِب-v
أن	conj_sub	أَنَّ	_	_	أن-k	أَنَّ-k
تدخلوا	verb	دَخَل	_	_	تدخلوا-v	دَخَل-v
الجنة	noun	جَنَّة	_	_	الجنة-n	جَنَّة-n
ولما	conj	لَمّا	_	_	ولما-c	لَمّا-c
يأتكم	verb	أَتَى	_	_	يأتكم-v	أَتَى-v
مثل	noun	مِثْل	_	_	مثل-n	مِثْل-n
الذين	pron_rel	الَّذِي	_	_	الذين-g	الَّذِي-g
خلوا	noun	خِلْو	_	_	خلوا-n	خِلْو-n
من	prep	مِن	_	_	من-p	مِن-p
قبلكم	verb	قَبِل	_	_	قبلكم-v	قَبِل-v
مستهم	verb	مَسّ	_	_	مستهم-v	مَسّ-v
البأساء	noun	بُؤْس	_	_	البأساء-n	بُؤْس-n
والضراء	noun	ضَرّاء	catastrophe	distress;adversity	والضراء-n	ضَرّاء-n
وزلزلوا	verb	زَلْزَل	catastrophe	earthquake;shaken	وزلزلوا-v	زَلْزَل-v
حتى	prep	حَتَّى	_	_	حتى-p	حَتَّى-p
يقول	verb	قال	_	_	يقول-v	قال-v
الرسول	noun	رَسُول	_	_	الرسول-n	رَسُول-n
والذين	pron_rel	الَّذِي	_	_	والذين-g	الَّذِي-g
ءامنوا	noun_prop	ءامنوا	_	_	ءامنوا-o	ءامنوا-o
معه	prep	مَع	_	_	معه-p	مَع-p
متى	adv_rel	مَتَى	_	_	متى-s	مَتَى-s
نصر	noun_prop	نَصْر	_	_	نصر-o	نَصْر-o
الله	noun_prop	اللَّه	_	_	الله-o	اللَّه-o
إلا	part	إِلّا	_	_	إلا-h	إِلّا-h
أن	conj_sub	أَنَّ	_	_	أن-k	أَنَّ-k
نصر	noun_prop	نَصْر	_	_	نصر-o	نَصْر-o
